,source,edge_type,target,weight
25,dysostosis,Disease {} resembles disease,mucopolysaccharidosis II,5.169868745724671e-05
26,dysostosis,Disease {} resembles disease,scoliosis,2.9544453354901638e-05
27,dysostosis,Disease {} resembles disease,osteopetrosis,2.0228486391715705e-05
28,dysostosis,Disease {} resembles disease,bone disease,0.0002554985403548
29,dysostosis,Disease {} resembles disease,mucopolysaccharidosis Ih,7.525178079959005e-05
30,dysostosis,Disease {} resembles disease,exocrine pancreatic insufficiency,6.793306965846568e-05
31,dysostosis,Disease {} resembles disease,acrocephalosyndactylia,7.1608947109780274e-06
32,dysostosis,Disease {} resembles disease,autosomal dominant osteopetrosis 2,3.0300903745228425e-05
33,dysostosis,Disease {} resembles disease,Melnick-Needles syndrome,8.718570825294591e-06
34,dysostosis,Disease {} resembles disease,Ellis-Van Creveld syndrome,3.148048563161865e-06
35,dysostosis,Disease {} resembles disease,Legg-Calve-Perthes disease,9.268303983844817e-06
36,dysostosis,Disease {} resembles disease,mucopolysaccharidosis IV,2.6645860998542048e-05
37,dysostosis,Disease {} resembles disease,mucopolysaccharidosis I,7.35013818484731e-05
38,dysostosis,Disease {} resembles disease,rickets,4.475529567571357e-05
39,dysostosis,Disease {} resembles disease,spina bifida occulta,1.7328558897133917e-05
40,dysostosis,Disease {} resembles disease,mucopolysaccharidosis type IVB,2.1551615645876158e-05
41,dysostosis,Disease {} resembles disease,osteonecrosis,1.5370791516033933e-05
42,dysostosis,Disease {} resembles disease,cartilage disease,0.0001077504421118
43,dysostosis,Disease {} resembles disease,multiple epiphyseal dysplasia,2.866532440748415e-06
44,dysostosis,"In genetics, disease {} associates with gene",NOG,6.042329459887696e-06
45,dysostosis,Disease {} is a type of disease,bone development disease,6.047036731615663e-05
46,dysostosis,"In genetics, disease {} associates with gene",CD96,0.16758693754673
47,dysostosis,"In genetics, disease {} associates with gene",RIPPLY2,0.000111127832497
48,dysostosis,"In genetics, disease {} associates with gene",EVC2,0.0228961315006017
49,dysostosis,"In genetics, disease {} associates with gene",MESP2,5.631460953736678e-05
50,dysostosis,"In genetics, disease {} associates with gene",LFNG,8.978339792520273e-06
51,dysostosis,"In genetics, disease {} associates with gene",SF3B4,4.922055086353794e-05
52,dysostosis,"In genetics, disease {} associates with gene",TBX6,1.0352645404054783e-05
53,dysostosis,"In genetics, disease {} associates with gene",HES7,3.0521438020514324e-05
54,dysostosis,"In genetics, disease {} associates with gene",EVC,2.789551672321977e-06
55,dysostosis,"In genetics, disease {} associates with gene",DLL3,5.018552838009782e-05
56,dysostosis,"In genetics, disease {} associates with gene",SEC24D,0.0002409967855783
57,dysostosis,"In genetics, disease {} associates with gene",TGFBR2,1.6869575119926594e-05
58,dysostosis,"In genetics, disease {} associates with gene",TGFBR1,1.873903238447383e-05
59,dysostosis,"In genetics, disease {} associates with gene",IL11RA,0.0069799711927771
60,dysostosis,"In genetics, disease {} associates with gene",ERF,1.9407702893659007e-06
61,dysostosis,"In genetics, disease {} associates with gene",FREM1,3.725902206497267e-05
62,dysostosis,"In genetics, disease {} associates with gene",POR,8.912742487154901e-06
63,dysostosis,"In genetics, disease {} associates with gene",ZIC1,5.185116970096715e-05
64,dysostosis,"In genetics, disease {} associates with gene",FGFR3,6.625045443797717e-06
65,dysostosis,"In genetics, disease {} associates with gene",TCF12,0.0003613674489315
66,dysostosis,"In genetics, disease {} associates with gene",SMAD6,3.069433296332136e-05
67,dysostosis,"In genetics, disease {} associates with gene",MSX2,4.745726255350746e-05
68,dysostosis,"In genetics, disease {} associates with gene",ALX4,2.1016048776800744e-05
69,dysostosis,"In genetics, disease {} associates with gene",RECQL4,1.3157291505194736e-05
70,dysostosis,"In genetics, disease {} associates with gene",SKI,2.1870721411687557e-07
71,dysostosis,"In genetics, disease {} associates with gene",FGFR2,9.912445420923175e-06
72,dysostosis,"In genetics, disease {} associates with gene",FGFR1,2.3571059500682168e-05
73,dysostosis,"In genetics, disease {} associates with gene",TWIST1,3.903415199602023e-05
74,dysostosis,"In genetics, disease {} associates with gene",MEGF8,1.087727923732018e-05
75,dysostosis,"In genetics, disease {} associates with gene",RAB23,0.006484339479357
76,dysostosis,"In genetics, disease {} associates with gene",GLI3,2.382547791057732e-05
77,dysostosis,"In genetics, disease {} associates with gene",ASXL1,3.5959830711362883e-05
78,dysostosis,"In genetics, disease {} associates with gene",P4HB,0.0008697122102603
79,dysostosis,"In genetics, disease {} associates with gene",PPP3CA,7.016349172772607e-06
80,dysostosis,"In genetics, disease {} associates with gene",EFNB1,4.1836410673568025e-05
81,dysostosis,"In genetics, disease {} associates with gene",CYP26B1,2.9121089028194547e-05
82,dysostosis,Disease {} resembles disease,achondroplasia,6.279181974377934e-08
83,dysostosis,Disease {} resembles disease,Crouzon syndrome,8.898568637505377e-08
84,dysostosis,Disease {} resembles disease,congenital myopathy 1A,0.0023385027889162
85,dysostosis,Disease {} resembles disease,Osgood-Schlatter's disease,0.0001607291342224
86,dysostosis,Disease {} resembles disease,chondromalacia,1.822215381253045e-06
87,dysostosis,Disease {} resembles disease,syndrome,2.805002168315696e-07
88,dysostosis,Disease {} resembles disease,osteochondrosis,2.9754737624898557e-06
89,dysostosis,Disease {} resembles disease,pseudohypoparathyroidism,7.133921826607548e-06
90,dysostosis,Disease {} resembles disease,glycoproteinosis,9.578308890922926e-06
91,dysostosis,Disease {} resembles disease,hereditary multiple exostoses,2.111088861056487e-06
92,dysostosis,Disease {} resembles disease,Treacher Collins syndrome,1.194016840599943e-05
93,dysostosis,Disease {} resembles disease,spondylolysis,1.335167894467304e-06
94,dysostosis,Disease {} resembles disease,craniosynostosis,1.3162544746592175e-05
95,dysostosis,Disease {} resembles disease,bone marrow disease,0.0009236666373908
96,dysostosis,Disease {} resembles disease,Ollier disease,0.0002462180273141
97,dysostosis,Disease {} resembles disease,osteosclerosis,2.204847532993881e-06
98,dysostosis,Disease {} resembles disease,osteochondritis dissecans,1.3832010381520377e-06
99,dysostosis,Disease {} resembles disease,congenital diaphragmatic hernia,4.49647330924563e-07
100,dysostosis,Disease {} resembles disease,osteochondrodysplasia,5.292444029691978e-07
101,dysostosis,Disease {} resembles disease,lysosomal storage disease,0.0001514812465757
102,dysostosis,Disease {} resembles disease,disease,0.0036335433833301
103,dysostosis,Disease {} localizes to anatomy,cartilage tissue,3.862777248286875e-06
104,dysostosis,Disease {} localizes to anatomy,lower jaw region,3.438337807892822e-05
105,dysostosis,Disease {} localizes to anatomy,face,0.000362832477549
106,dysostosis,Disease {} localizes to anatomy,thoracic vertebra,8.485761782139889e-07
107,dysostosis,Disease {} localizes to anatomy,lumbar vertebra,1.1283716503385222e-06
108,dysostosis,Disease {} localizes to anatomy,ilium,1.3424794815364294e-05
109,dysostosis,Disease {} localizes to anatomy,head,6.281903188209981e-05
110,dysostosis,Disease {} localizes to anatomy,mandible,4.8734193569544e-07
111,dysostosis,Disease {} localizes to anatomy,eyelid,0.000146605350892
112,dysostosis,Disease {} localizes to anatomy,head of femur,0.0002397059579379
113,dysostosis,Disease {} localizes to anatomy,rib,2.462719385221135e-05
114,dysostosis,Disease {} localizes to anatomy,cervical vertebra,6.318285841189208e-07
115,dysostosis,Disease {} localizes to anatomy,hip joint,0.0074179037474095
116,dysostosis,Disease {} localizes to anatomy,ischium,0.0001928677520481
117,dysostosis,Disease {} localizes to anatomy,epiphysis,0.0001470999413868
118,dysostosis,Disease {} localizes to anatomy,vertebral column,0.0001686320902081
119,dysostosis,Disease {} localizes to anatomy,pelvic region of trunk,5.964417869108729e-05
120,dysostosis,Disease {} localizes to anatomy,bone tissue,6.661138741037576e-06
121,dysostosis,Disease {} localizes to anatomy,fibula,1.3318328910827404e-06
122,dysostosis,Disease {} localizes to anatomy,subtalar joint,0.0017011440359055
123,dysostosis,Disease {} localizes to anatomy,skull,4.095525127922883e-06
124,dysostosis,Disease {} localizes to anatomy,ulna,8.925423458094883e-07
125,dysostosis,Disease {} localizes to anatomy,manual digit,0.0001417023013345
126,dysostosis,Disease {} localizes to anatomy,facial bone,2.30349496632698e-06
127,dysostosis,Disease {} presents symptom,Eye Manifestations,3.429745993344113e-05
128,dysostosis,Disease {} presents symptom,Malignant Hyperthermia,3.454477700870484e-05
129,dysostosis,Disease {} presents symptom,Hearing Disorders,2.7929889256483875e-05
130,dysostosis,Disease {} presents symptom,Intellectual Disability,3.696397357089154e-07
131,autosomal dominant disease,Disease {} is a type of disease,Laurin-Sandrow syndrome,6.587232201127335e-05
132,autosomal dominant disease,Disease {} is a type of disease,acromelic frontonasal dysostosis,4.607239316101186e-05
133,autosomal dominant disease,Disease {} is a type of disease,multiple synostoses syndrome,9.106280049309134e-05
134,autosomal dominant disease,Disease {} is a type of disease,ischiocoxopodopatellar syndrome,0.0001010165142361
135,autosomal dominant disease,Disease {} is a type of disease,Pfeiffer syndrome,5.706297451979481e-05
136,autosomal dominant disease,Disease {} is a type of disease,cleidocranial dysplasia,5.6797885918058455e-05
137,autosomal dominant disease,Disease {} is a type of disease,Saethre-Chotzen syndrome,4.650883420254104e-05
138,autosomal dominant disease,Disease {} is a type of disease,SADDAN,8.031519973883405e-05
139,autosomal dominant disease,Disease {} is a type of disease,autosomal dominant osteopetrosis 2,0.0001028963088174
140,autosomal dominant disease,Disease {} is a type of disease,hereditary spastic paraplegia 41,8.284312934847549e-05
141,autosomal dominant disease,Disease {} is a type of disease,craniosynostosis 1,9.159604815067723e-05
142,autosomal dominant disease,Disease {} is a type of disease,craniosynostosis 3,0.0001001310301944
143,autosomal dominant disease,Disease {} is a type of disease,craniosynostosis 2,8.726708620088175e-05
144,autosomal dominant disease,Disease {} is a type of disease,craniosynostosis 4,8.211927342927083e-05
145,autosomal dominant disease,Disease {} is a type of disease,craniosynostosis 6,8.198817522497848e-05
146,autosomal dominant disease,Disease {} is a type of disease,striatal degeneration 2,2.399719051027205e-05
147,autosomal dominant disease,Disease {} is a type of disease,rhabdoid tumor predisposition syndrome,9.672005398897454e-05
148,autosomal dominant disease,Disease {} is a type of disease,autosomal dominant isolated macrothrombocytopenia 2,3.8956197386141866e-05
149,autosomal dominant disease,Disease {} is a type of disease,"autoinflammation, antibody deficiency, and immune dysregulation syndrome",0.0001268844207515
150,autosomal dominant disease,Disease {} is a type of disease,poor metabolism of thiopurines 2,0.0001467242109356
151,autosomal dominant disease,Disease {} is a type of disease,preaxial polydactyly type IV,3.681716407299973e-05
152,autosomal dominant disease,Disease {} is a type of disease,"short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies 1",3.0923689337214455e-05
153,autosomal dominant disease,Disease {} is a type of disease,bent bone dysplasia syndrome 1,0.0001307095517404
154,autosomal dominant disease,Disease {} is a type of disease,preaxial polydactyly II,3.758541060960852e-05
155,autosomal dominant disease,Disease {} is a type of disease,familial renal glucosuria,4.107135464437306e-05
156,autosomal dominant disease,Disease {} is a type of disease,epidermolytic palmoplantar keratoderma 1,0.0001270667271455
157,autosomal dominant disease,Disease {} is a type of disease,primary pigmented nodular adrenocortical disease 1,0.0001299100695177
158,autosomal dominant disease,Disease {} is a type of disease,"renal hypomagnesemia 7, with or without dilated cardiomyopathy",3.3699561754474416e-05
159,autosomal dominant disease,Disease {} is a type of disease,polycystic liver disease 2,7.923632801976055e-05
160,autosomal dominant disease,Disease {} is a type of disease,primary pigmented nodular adrenocortical disease 2,0.0001165080248028
161,autosomal dominant disease,Disease {} is a type of disease,polycystic liver disease 3,8.781956421444193e-05
162,autosomal dominant disease,Disease {} is a type of disease,interstitial lung disease 2,5.236268043518066e-05
163,autosomal dominant disease,Disease {} is a type of disease,epidermolytic palmoplantar keratoderma 2,0.0001298465940635
164,autosomal dominant disease,Disease {} is a type of disease,polycystic liver disease 4,8.306713425554335e-05
165,autosomal dominant disease,Disease {} is a type of disease,primary pigmented nodular adrenocortical disease 4,0.0001314443070441
166,autosomal dominant disease,Disease {} is a type of disease,ZTTK syndrome,6.682991806883365e-05
167,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 116,5.89691371715162e-05
168,autosomal dominant disease,Disease {} is a type of disease,Cornelia de Lange syndrome 6,0.0001158567829406
169,autosomal dominant disease,Disease {} is a type of disease,episodic ataxia type 9,8.343313675140962e-05
170,autosomal dominant disease,Disease {} is a type of disease,interstitial lung disease 1,5.599936412181705e-05
171,autosomal dominant disease,Disease {} is a type of disease,idiopathic pulmonary fibrosis,9.322474943473936e-05
172,autosomal dominant disease,Disease {} is a type of disease,cone-rod dystrophy 24,2.071399831038434e-05
173,autosomal dominant disease,Disease {} is a type of disease,familial medullary thyroid carcinoma,7.259018457261845e-05
174,autosomal dominant disease,Disease {} is a type of disease,blepharophimosis-impaired intellectual development syndrome,0.0001389184326399
175,autosomal dominant disease,Disease {} is a type of disease,dystonia 30,7.729217759333551e-05
176,autosomal dominant disease,Disease {} is a type of disease,"dystonia 28, childhood-onset",8.310301200253889e-05
177,autosomal dominant disease,Disease {} is a type of disease,dystonia 33,7.204199937405065e-05
178,autosomal dominant disease,Disease {} is a type of disease,Peroxisome biogenesis disorder 4B,2.760545066848863e-05
179,autosomal dominant disease,Disease {} is a type of disease,myoclonic dystonia 34,0.0001042803633026
180,autosomal dominant disease,Disease {} is a type of disease,"dystonia, DOPA-responsive",5.952917854301632e-05
181,autosomal dominant disease,Disease {} is a type of disease,Nicolaides-Baraitser syndrome,4.1774153942242265e-05
182,autosomal dominant disease,Disease {} is a type of disease,episodic kinesigenic dyskinesia 3,6.728811422362924e-05
183,autosomal dominant disease,Disease {} is a type of disease,long QT syndrome 8,0.0001348253135802
184,autosomal dominant disease,Disease {} is a type of disease,long QT syndrome 16,0.000141239419463
185,autosomal dominant disease,Disease {} is a type of disease,familial multiple lipomatosis,7.682068826397881e-05
186,autosomal dominant disease,Disease {} is a type of disease,foveal hypoplasia 1,6.067474896553904e-05
187,autosomal dominant disease,Disease {} is a type of disease,familial focal epilepsy with variable foci,3.707084397319704e-05
188,autosomal dominant disease,Disease {} is a type of disease,developmental dysplasia of the hip 2,0.0001958190841833
189,autosomal dominant disease,Disease {} is a type of disease,aniridia 1,4.3764837755588815e-05
190,autosomal dominant disease,Disease {} is a type of disease,developmental dysplasia of the hip 1,0.0001906760589918
191,autosomal dominant disease,Disease {} is a type of disease,Schinzel Giedion syndrome,7.866849045967683e-05
192,autosomal dominant disease,Disease {} is a type of disease,holoprosencephaly 12,6.965957436477765e-05
193,autosomal dominant disease,Disease {} is a type of disease,Vissers-Bodmer syndrome,4.915139288641512e-05
194,autosomal dominant disease,Disease {} is a type of disease,Mitchell syndrome,6.547214434249327e-05
195,autosomal dominant disease,Disease {} is a type of disease,Harel-Yoon syndrome,6.823942385381088e-05
196,autosomal dominant disease,Disease {} is a type of disease,distal myopathy Tateyama type,4.077087578480132e-05
197,autosomal dominant disease,Disease {} is a type of disease,distal myopathy 3,2.792160194076132e-05
198,autosomal dominant disease,Disease {} is a type of disease,otosclerosis,6.995693547651172e-05
199,autosomal dominant disease,Disease {} is a type of disease,chromosome 1p36.33 duplication syndrome,0.0001021432763081
200,autosomal dominant disease,Disease {} is a type of disease,glomangioma,7.563313556602225e-05
201,autosomal dominant disease,Disease {} is a type of disease,infantile-onset distal myopathy,3.565711449482478e-05
202,autosomal dominant disease,Disease {} is a type of disease,childhood-onset neurodegeneration with brain atrophy,6.784743891330436e-05
203,autosomal dominant disease,Disease {} is a type of disease,proteosome-associated autoinflammatory syndrome 2,0.000164114870131
204,autosomal dominant disease,Disease {} is a type of disease,amyotrophic lateral sclerosis type 28,7.490834832424298e-05
205,autosomal dominant disease,Disease {} is a type of disease,amyotrophic lateral sclerosis type 1,9.350450272904708e-05
206,autosomal dominant disease,Disease {} is a type of disease,Watson syndrome,5.426579809864052e-05
207,autosomal dominant disease,Disease {} is a type of disease,amyotrophic lateral sclerosis type 26,5.652285108226352e-05
208,autosomal dominant disease,Disease {} is a type of disease,schwannomatosis,1.7070493413484655e-05
209,autosomal dominant disease,Disease {} is a type of disease,amyotrophic lateral sclerosis type 24,6.0500828112708405e-05
210,autosomal dominant disease,Disease {} is a type of disease,amyotrophic lateral sclerosis type 25,7.0136935391929e-05
211,autosomal dominant disease,Disease {} is a type of disease,Legius syndrome,6.626066897297278e-05
212,autosomal dominant disease,Disease {} is a type of disease,juvenile amyotrophic lateral sclerosis type 27,8.668838563608006e-05
213,autosomal dominant disease,Disease {} is a type of disease,early-onset epilepsy 2,0.0001452305150451
214,autosomal dominant disease,Disease {} is a type of disease,syndactyly type 1,6.48112254566513e-05
215,autosomal dominant disease,Disease {} is a type of disease,early-onset epilepsy 3,0.0001529322034912
216,autosomal dominant disease,Disease {} is a type of disease,nemaline myopathy 5C,5.620553565677256e-05
217,autosomal dominant disease,Disease {} is a type of disease,mitochondrial complex V (ATP synthase) deficiency nuclear type 4A,0.0001048733174684
218,autosomal dominant disease,Disease {} is a type of disease,carpal tunnel syndrome 1,0.0001837064774008
219,autosomal dominant disease,Disease {} is a type of disease,hereditary spastic paraplegia 88,7.976564666023478e-05
220,autosomal dominant disease,Disease {} is a type of disease,hereditary spastic paraplegia 90B,7.181222463259473e-05
221,autosomal dominant disease,Disease {} is a type of disease,hereditary spastic paraplegia 79A,5.526030145119876e-05
222,autosomal dominant disease,Disease {} is a type of disease,hereditary spastic paraplegia 90A,6.597550236620009e-05
223,autosomal dominant disease,Disease {} is a type of disease,carpal tunnel syndrome 2,0.0001909407292259
224,autosomal dominant disease,Disease {} is a type of disease,lacrimoauriculodentodigital syndrome 3,9.990437683882192e-05
225,autosomal dominant disease,Disease {} is a type of disease,nemaline myopathy 5 C,5.8605786762200296e-05
226,autosomal dominant disease,Disease {} is a type of disease,early-onset dystonia and/or spastic paraplegia,3.786990055232309e-05
227,autosomal dominant disease,Disease {} is a type of disease,lacrimoauriculodentodigital syndrome 2,9.278795914724468e-05
228,autosomal dominant disease,Disease {} is a type of disease,paroxysmal nonkinesigenic dyskinesia 3,5.565950777963735e-05
229,autosomal dominant disease,Disease {} is a type of disease,retinal macular dystrophy,6.615989696001634e-05
230,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 98,3.857085175695829e-05
231,autosomal dominant disease,Disease {} is a type of disease,Paget's disease of bone 4,0.0001111824021791
232,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 100,7.742169691482559e-05
233,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 109,6.501381722046062e-05
234,autosomal dominant disease,Disease {} is a type of disease,hypomyelinating leukodystrophy 16,3.61183010681998e-05
235,autosomal dominant disease,Disease {} is a type of disease,vertebral hypersegmentation and orofacial anomalies,5.971777136437595e-05
236,autosomal dominant disease,Disease {} is a type of disease,Thomsen disease,5.110552592668682e-05
237,autosomal dominant disease,Disease {} is a type of disease,distal myopathy with rimmed vacuoles,2.9010827347519808e-05
238,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 103,5.992926526232623e-05
239,autosomal dominant disease,Disease {} is a type of disease,hypomyelinating leukodystrophy 25,4.1989809687947854e-05
240,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 108,5.8414399973116815e-05
241,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 64,3.441223088884726e-05
242,autosomal dominant disease,Disease {} is a type of disease,congenital myopathy 8,7.08725638105534e-05
243,autosomal dominant disease,Disease {} is a type of disease,congenital myopathy 15,8.627118222648278e-05
244,autosomal dominant disease,Disease {} is a type of disease,congenital myopathy 4A,6.045383997843601e-05
245,autosomal dominant disease,Disease {} is a type of disease,hypomyelinating leukodystrophy 19,4.01493271056097e-05
246,autosomal dominant disease,Disease {} is a type of disease,hereditary spastic paraplegia 9A,5.910218533244915e-05
247,autosomal dominant disease,Disease {} is a type of disease,"brachycephaly, trichomegaly, and developmental delay",5.997628250042908e-05
248,autosomal dominant disease,Disease {} is a type of disease,Paget's disease of bone 2,9.992798004532232e-05
249,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 99,4.223882206133567e-05
250,autosomal dominant disease,Disease {} is a type of disease,hypomyelinating leukodystrophy 24,3.628544436651282e-05
251,autosomal dominant disease,Disease {} is a type of disease,epidermolytic hyperkeratosis 1,0.0001284602185478
252,autosomal dominant disease,Disease {} is a type of disease,congenital myopathy 16,8.536472887499258e-05
253,autosomal dominant disease,Disease {} is a type of disease,Paget's disease of bone 3,0.0001063033705577
254,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 97,3.655327236629091e-05
255,autosomal dominant disease,Disease {} is a type of disease,congenital myopathy 18,8.888878073776141e-05
256,autosomal dominant disease,Disease {} is a type of disease,hypomyelinating leukodystrophy 22,4.076448021805845e-05
257,autosomal dominant disease,Disease {} is a type of disease,"spinal muscular atrophy, Jokela type",5.411529491539113e-05
258,autosomal dominant disease,Disease {} is a type of disease,isolated mitochondrial myopathy,6.871381629025564e-05
259,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 6B,3.325390207464807e-05
260,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 104,5.671644976246171e-05
261,autosomal dominant disease,Disease {} is a type of disease,Paget's disease of bone 6,0.0001122007161029
262,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 96,3.560475670383312e-05
263,autosomal dominant disease,Disease {} is a type of disease,nevoid basal cell carcinoma syndrome 1,0.0001502120867371
264,autosomal dominant disease,Disease {} is a type of disease,congenital myopathy 6,7.622285920660943e-05
265,autosomal dominant disease,Disease {} is a type of disease,congenital myopathy 2C,7.883004582254216e-05
266,autosomal dominant disease,Disease {} is a type of disease,familial hyperinsulinemic hypoglycemia 6,4.861295383307152e-05
267,autosomal dominant disease,Disease {} is a type of disease,familial hyperinsulinemic hypoglycemia 5,5.000975215807557e-05
268,autosomal dominant disease,Disease {} is a type of disease,familial hyperinsulinemic hypoglycemia 3,5.776077523478307e-05
269,autosomal dominant disease,Disease {} is a type of disease,familial hyperinsulinemic hypoglycemia 1,5.033532215747982e-05
270,autosomal dominant disease,Disease {} is a type of disease,myoclonic-atonic epilepsy,6.277272768784314e-05
271,autosomal dominant disease,Disease {} is a type of disease,familial hyperinsulinemic hypoglycemia 2,5.369654900277965e-05
272,autosomal dominant disease,Disease {} is a type of disease,progeria,5.642834003083408e-05
273,autosomal dominant disease,Disease {} is a type of disease,"contractures, pterygia, and spondylocarpotarsal fusion syndrome 1A",6.131962436484173e-05
274,autosomal dominant disease,Disease {} is a type of disease,familial hyperinsulinemic hypoglycemia 7,4.50006737082731e-05
275,autosomal dominant disease,Disease {} is a type of disease,hereditary spastic paraplegia 8,7.995146734174341e-05
276,autosomal dominant disease,Disease {} is a type of disease,Charcot-Marie-Tooth disease type 1D,4.656776127376361e-06
277,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 19,5.052776759839617e-05
278,autosomal dominant disease,Disease {} is a type of disease,dehydrated hereditary stomatocytosis 1,0.0001203334904857
279,autosomal dominant disease,Disease {} is a type of disease,retinitis pigmentosa 27,7.253453804878518e-05
280,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 58,3.982021371484734e-05
281,autosomal dominant disease,Disease {} is a type of disease,chromosome 19p13.13 deletion syndrome,6.516688881674781e-05
282,autosomal dominant disease,Disease {} is a type of disease,dentinogenesis imperfecta,0.0001474347518524
283,autosomal dominant disease,Disease {} is a type of disease,CST3-related cerebral amyloid angiopathy,6.114302232163027e-05
284,autosomal dominant disease,Disease {} is a type of disease,autosomal dominant cerebellar ataxia,0.0001058589841704
285,autosomal dominant disease,Disease {} is a type of disease,autosomal dominant dyskeratosis congenita 1,4.420548430061899e-05
286,autosomal dominant disease,Disease {} is a type of disease,neurohypophyseal diabetes insipidus,5.646536010317504e-05
287,autosomal dominant disease,Disease {} is a type of disease,malignant hyperthermia,0.0001125420312746
288,autosomal dominant disease,Disease {} is a type of disease,epidermolysis bullosa simplex localized type,9.115921420743688e-05
289,autosomal dominant disease,Disease {} is a type of disease,autosomal dominant cutis laxa,5.178887295187451e-05
290,autosomal dominant disease,Disease {} is a type of disease,permanent neonatal diabetes mellitus,3.75558556697797e-05
291,autosomal dominant disease,Disease {} is a type of disease,oculopharyngodistal myopathy 2,5.043648343416862e-05
292,autosomal dominant disease,Disease {} is a type of disease,hyper IgE recurrent infection syndrome 1,0.0001148073934018
293,autosomal dominant disease,Disease {} is a type of disease,Noonan syndrome 12,0.0001119278094847
294,autosomal dominant disease,Disease {} is a type of disease,hyperalphalipoproteinemia 1,6.47564884275198e-05
295,autosomal dominant disease,Disease {} is a type of disease,congenital myasthenic syndrome 4A,5.389663783716969e-05
296,autosomal dominant disease,Disease {} is a type of disease,syndactyly type 3,7.788751827320084e-05
297,autosomal dominant disease,Disease {} is a type of disease,focal segmental glomerulosclerosis 8,3.3027456083800644e-05
298,autosomal dominant disease,Disease {} is a type of disease,focal segmental glomerulosclerosis 2,3.942048715543933e-05
299,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 59,3.988551543443464e-05
300,autosomal dominant disease,Disease {} is a type of disease,developmental and epileptic encephalopathy 70,2.2263928258325905e-05
301,autosomal dominant disease,Disease {} is a type of disease,dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,7.986565469764173e-05
302,autosomal dominant disease,Disease {} is a type of disease,giant axonal neuropathy 2,4.04004349547904e-05
303,autosomal dominant disease,Disease {} is a type of disease,delta beta-thalassemia,6.765372381778434e-05
304,autosomal dominant disease,Disease {} is a type of disease,cataract 43,7.170995377236977e-05
